91.110.209.124:443#HK [优选高速 63.34ms]
91.110.209.115:443#HK [优选高速 67.6ms]
91.110.209.104:443#HK [优选高速 65.76ms]
91.110.209.86:443#HK [优选高速 69.44ms]
91.110.209.88:443#HK [优选高速 61.52ms]
91.110.209.105:443#HK [优选高速 72.61ms]
38.147.190.31:8443#HK [优选高速 71.87ms]
91.110.209.108:443#HK [83.14ms]
166.88.2.13:8443#JP [优选高速 68.27ms]
45.89.232.185:443#JP [优选高速 79.26ms]
45.89.232.242:443#JP [优选高速 85.36ms]
216.23.121.134:8443#JP [86.15ms]
161.248.31.198:443#VN [293.51ms]
209.33.173.167:443#JP [78.57ms]
45.153.246.5:443#JP [93.42ms]
166.88.95.157:443#JP [80.76ms]
45.89.232.249:443#JP [优选高速 89.22ms]
163.61.74.121:443#VN [299.9ms]
47.83.14.42:8443#HK [69.33ms]
82.152.91.210:443#TW [331.8ms]
47.76.218.163:443#HK [63.04ms]
38.55.108.59:8443#US [169.52ms]
45.143.129.87:2053#US [164.47ms]
69.63.221.161:443#US [170.56ms]
131.143.251.20:443#US [171.79ms]
31.58.50.110:2053#US [171.5ms]
154.17.6.184:443#US [165.58ms]
103.199.18.23:443#VN [415.69ms]
220.135.92.105:2087#TW [94.18ms]
103.137.63.227:8443#TW [416.01ms]
212.135.210.88:8443#JP [85.39ms]
166.88.99.206:443#JP [86.28ms]
45.143.130.61:443#US [160.36ms]
193.46.218.181:443#US [168.96ms]
31.56.222.119:8443#NL [180.2ms]
45.150.236.135:443#RU [优选高速 129.39ms]
178.128.70.6:443#US [171.98ms]
178.128.70.6:2096#US [172.0ms]
89.125.146.45:443#NL [167.99ms]
152.53.200.165:8443#NL [168.41ms]
178.255.222.103:2053#NL [175.24ms]
193.17.92.245:443#RU [220.63ms]
194.87.94.186:443#RU [223.32ms]
95.85.248.110:443#NL [176.59ms]
91.184.253.89:443#NL [180.43ms]
2.27.54.29:443#RU [223.72ms]
95.85.228.97:443#NL [181.53ms]
178.173.255.201:443#NL [180.64ms]
38.180.96.40:443#NL [181.96ms]
89.251.8.38:2087#TR [205.04ms]
46.249.44.245:8443#NL [182.21ms]
212.192.6.248:443#TR [233.56ms]
45.12.143.25:443#TR [227.28ms]
45.89.228.81:443#RU [196.06ms]
188.119.64.16:8443#RU [208.5ms]
95.215.108.19:8443#RU [219.95ms]
94.131.123.74:443#TR [242.26ms]
188.132.192.194:2053#TR [274.37ms]
185.105.117.222:443#RU [224.5ms]
188.132.192.145:2087#TR [290.32ms]
5.129.195.217:443#RU [225.79ms]
45.95.203.214:2053#RU [225.85ms]
195.16.74.73:443#TR [240.62ms]
5.180.45.186:2096#TR [244.88ms]
93.115.10.218:8443#TR [262.6ms]
194.53.54.84:2053#FI [217.43ms]
93.115.10.237:2053#TR [263.52ms]
65.21.16.187:443#FI [196.8ms]
77.42.47.84:8443#FI [204.9ms]
185.188.181.196:443#FI [207.44ms]
89.125.116.214:8443#FI [211.17ms]
185.252.144.185:8443#FI [214.33ms]
77.42.73.123:443#FI [215.6ms]
45.155.55.221:443#FI [215.61ms]
62.238.14.253:443#FI [216.92ms]
45.131.71.183:8443#DE [优选高速 143.92ms]
65.109.205.229:443#FI [217.53ms]
193.219.99.7:8443#GB [184.39ms]
193.219.99.176:8443#GB [187.06ms]
91.132.95.212:443#GB [188.4ms]
94.159.96.203:443#DE [162.77ms]
193.219.99.70:8443#GB [190.57ms]
57.129.137.210:8443#GB [190.89ms]
185.120.16.210:443#DE [173.69ms]
57.129.137.51:443#GB [192.66ms]
57.129.137.210:443#GB [192.85ms]
95.179.168.228:8443#DE [176.44ms]
57.129.137.58:8443#GB [193.01ms]
193.219.99.63:8443#GB [193.42ms]
57.129.131.166:8443#GB [194.03ms]
31.133.0.103:2053#PL [207.94ms]
82.118.21.88:443#PL [207.31ms]
18.184.55.249:443#DE [174.51ms]
178.104.169.86:443#DE [176.33ms]
157.90.123.229:443#DE [177.25ms]
82.118.20.234:443#PL [210.17ms]
94.130.72.184:443#DE [177.6ms]
213.134.31.23:443#PL [204.4ms]
193.26.158.212:8443#DE [177.74ms]
88.198.82.145:443#DE [177.76ms]
51.83.152.81:443#PL [189.5ms]
129.154.251.30:443#IN [404.15ms]
51.68.141.223:443#PL [203.56ms]
139.84.174.65:443#IN [1185.92ms]
145.239.88.255:2053#PL [205.04ms]
103.181.177.88:443#IN [459.46ms]
139.84.221.153:8443#IN [353.69ms]
51.75.32.106:443#PL [210.66ms]
91.193.18.220:443#PL [211.25ms]
212.192.22.177:443#PL [217.35ms]
20.235.220.189:443#IN [199.72ms]
129.154.251.30:8443#IN [365.68ms]
142.93.209.210:443#IN [412.57ms]
45.89.105.211:443#IN [1311.38ms]
151.158.1.219:443#CH [217.48ms]
83.228.193.229:443#CH [219.78ms]
193.108.54.86:443#CH [218.78ms]
143.110.247.61:2096#IN [1370.49ms]
64.227.174.213:8443#IN [1409.61ms]
83.228.193.188:8443#CH [189.05ms]
185.237.225.95:443#CH [192.2ms]
91.245.225.17:443#CH [196.39ms]
45.136.199.148:443#RO [220.44ms]
83.228.193.188:443#CH [200.83ms]
83.228.207.179:443#CH [209.24ms]
176.97.76.48:8443#RO [217.87ms]
83.228.217.38:8443#CH [223.21ms]
91.245.225.69:443#CH [223.65ms]
85.120.229.99:443#RO [213.3ms]
85.90.196.11:443#RO [213.72ms]
86.122.14.66:443#RO [217.8ms]
103.178.153.198:443#ID [470.4ms]
85.90.196.38:443#RO [268.99ms]
82.152.132.14:443#RO [301.46ms]
82.152.132.29:443#RO [293.04ms]
38.180.18.43:8443#BE [1218.6ms]
89.125.200.144:2053#BE [275.85ms]
192.71.213.48:443#ES [237.54ms]
185.225.17.223:443#RO [303.81ms]
45.13.38.118:443#RO [318.53ms]
185.114.72.31:8443#ES [282.72ms]
43.218.77.16:443#ID [1283.66ms]
89.125.200.222:2053#BE [266.14ms]
104.155.124.198:443#BE [468.61ms]
217.154.185.87:443#ES [241.05ms]
217.156.67.86:443#MD [1338.86ms]
92.118.127.120:443#ES [260.61ms]
31.57.190.43:443#ES [260.85ms]
31.57.190.44:443#ES [267.34ms]
31.57.190.53:443#ES [267.61ms]
31.57.190.48:443#ES [272.39ms]
45.136.198.114:8443#BG [231.05ms]
91.92.136.69:443#BG [227.05ms]
31.57.190.51:443#ES [284.07ms]
193.37.212.169:443#BG [243.16ms]
45.39.241.116:443#BG [235.02ms]
185.148.146.9:443#BG [246.89ms]
31.57.190.29:443#ES [286.89ms]
185.206.146.190:8443#BG [274.2ms]
194.180.191.123:443#MD [288.09ms]
104.128.130.7:443#MD [468.98ms]
185.205.210.144:443#BG [257.18ms]
89.125.107.175:443#BG [230.45ms]
185.177.59.153:2053#BG [237.91ms]
45.137.201.143:443#BG [255.77ms]
51.91.253.60:8443#FR [178.99ms]
37.59.114.37:8443#FR [180.01ms]
152.228.134.48:2053#FR [181.82ms]
152.53.101.5:443#AT [182.66ms]
51.91.248.251:443#FR [181.85ms]
51.91.253.112:443#FR [183.54ms]
51.91.249.198:8443#FR [184.91ms]
51.210.151.165:2053#FR [186.27ms]
51.91.102.36:2053#FR [186.55ms]
51.77.141.117:443#FR [188.21ms]
54.194.24.172:443#IE [231.12ms]
46.102.157.145:8443#AT [288.84ms]
37.59.96.47:8443#FR [190.71ms]
46.102.157.145:443#AT [287.76ms]
152.53.45.7:443#AT [201.65ms]
132.243.203.120:8443#AT [270.97ms]
132.243.203.207:8443#AT [271.11ms]
132.243.203.209:8443#AT [274.92ms]
132.243.203.245:8443#AT [277.97ms]
132.243.203.210:8443#AT [281.02ms]
132.243.245.215:443#AT [286.19ms]
162.249.124.6:443#IE [295.43ms]
54.229.164.147:2053#IE [195.66ms]
217.60.0.168:8443#LV [209.54ms]
52.19.138.237:2053#IE [240.28ms]
23.95.225.10:8443#IE [259.75ms]
23.95.225.10:2053#IE [263.2ms]
5.157.30.2:8443#IE [275.13ms]
5.157.30.3:8443#IE [276.98ms]
185.82.126.9:2053#LV [237.88ms]
185.82.126.184:2053#LV [241.34ms]
83.138.13.134:443#IE [341.15ms]
43.160.246.223:8443#SG [107.34ms]
107.172.145.153:443#IE [654.7ms]
195.20.208.9:8443#LV [242.2ms]
195.123.210.147:443#LV [227.41ms]
195.123.212.222:8443#LV [227.84ms]
192.36.41.238:2096#LV [232.88ms]
185.151.146.61:443#SG [154.26ms]
195.20.208.4:443#LV [235.19ms]
194.233.67.84:443#SG [229.97ms]
134.185.88.235:8443#SG [265.57ms]
140.245.107.0:8443#SG [278.57ms]
158.178.229.178:443#SG [269.6ms]
161.118.195.117:8443#SG [275.62ms]
37.252.8.202:443#SE [217.06ms]
150.109.11.223:443#SG [136.9ms]
217.28.49.84:8443#LV [241.82ms]
195.123.209.7:2053#LV [247.51ms]
70.34.222.176:2083#SE [242.87ms]
41.216.182.98:443#SE [227.09ms]
38.180.48.182:8443#CZ [221.07ms]
62.182.194.151:443#SE [253.75ms]
194.182.80.100:443#CZ [264.77ms]
15.235.212.159:8443#SG [269.52ms]
5.223.51.84:443#SG [272.03ms]
80.78.19.185:443#SE [190.9ms]
193.124.57.87:443#CZ [266.33ms]
80.78.25.208:443#SE [224.55ms]
70.34.214.142:8443#SE [225.66ms]
130.49.178.164:8443#SE [235.26ms]
192.145.30.224:443#SE [248.12ms]
185.174.135.12:443#EE [201.7ms]
185.21.11.91:443#SE [268.41ms]
89.221.219.195:8443#CZ [237.22ms]
80.211.200.113:443#CZ [249.66ms]
89.221.219.195:443#CZ [252.93ms]
2.27.170.209:443#EE [251.52ms]
159.253.21.228:443#EE [230.73ms]
193.124.56.100:443#CZ [276.81ms]
81.2.236.23:443#CZ [264.81ms]
85.137.167.159:443#CZ [267.5ms]
159.253.21.82:443#EE [261.92ms]
91.199.160.188:443#CZ [271.69ms]
5.101.115.34:443#EE [267.81ms]
185.36.141.23:443#EE [238.67ms]
185.155.97.85:443#EE [254.09ms]
185.36.141.193:443#EE [260.0ms]
2.27.131.10:443#KZ [285.65ms]
213.155.22.139:443#KZ [286.89ms]
5.101.180.145:443#EE [268.0ms]
5.45.115.162:2083#EE [271.02ms]
94.131.92.95:443#KZ [273.6ms]
92.118.115.22:2053#KZ [275.01ms]
194.32.141.156:443#KZ [279.16ms]
43.229.150.17:443#TH [284.51ms]
2.135.146.15:443#KZ [283.9ms]
194.110.54.219:443#KZ [302.62ms]
45.136.254.175:443#TH [324.6ms]
194.32.142.88:443#KZ [299.17ms]
157.254.192.20:443#TH [1288.81ms]
213.148.10.170:8443#KZ [302.18ms]
193.177.221.29:443#AU [244.26ms]
185.222.217.28:443#AU [252.32ms]
117.18.127.43:443#TH [334.92ms]
5.39.253.54:443#KZ [303.12ms]
157.85.96.43:443#TH [1397.5ms]
45.154.24.235:443#TH [273.47ms]
172.105.173.161:443#AU [326.12ms]
45.154.24.232:443#TH [293.53ms]
45.154.24.89:443#TH [300.3ms]
139.84.197.94:443#AU [1329.59ms]
157.85.101.45:443#TH [393.06ms]
163.47.16.78:443#AU [403.15ms]
43.229.132.106:443#TH [1331.32ms]
158.180.5.171:443#AU [1351.81ms]
103.167.235.79:443#AL [1411.0ms]
152.67.41.217:443#BR [1379.94ms]
207.211.157.214:443#AU [331.19ms]
46.250.244.12:443#AU [376.0ms]
123.51.23.113:443#AU [430.74ms]
176.97.68.17:443#AU [432.06ms]
130.94.116.44:443#EC [281.24ms]
31.76.113.157:443#IT [265.06ms]
31.77.201.20:443#IT [281.11ms]
191.44.32.253:443#BR [248.17ms]
132.226.163.224:8443#BR [349.26ms]
132.226.163.224:2053#BR [367.93ms]
146.235.59.153:8443#BR [415.12ms]
31.77.201.26:443#IT [293.95ms]
72.146.234.10:443#IT [266.81ms]
80.211.24.141:443#IT [273.26ms]
138.124.65.187:443#LT [282.8ms]
172.235.229.214:443#IT [273.84ms]
151.241.215.148:443#IT [288.79ms]
45.92.70.176:8443#IT [290.13ms]
151.241.215.7:443#IT [309.27ms]
195.54.160.25:443#IT [331.45ms]
195.238.126.11:443#LT [303.31ms]
89.40.4.81:443#LT [248.14ms]
176.223.143.235:443#LT [254.1ms]
185.237.185.110:2053#LT [293.71ms]
5.199.162.130:443#LT [261.93ms]
45.133.16.41:443#CA [240.31ms]
85.206.161.198:443#LT [275.31ms]
89.40.2.194:443#LT [283.96ms]
89.40.9.60:443#LT [287.24ms]
147.45.217.40:443#LT [300.73ms]
198.199.106.194:443#CA [201.08ms]
139.84.230.41:443#ZA [378.13ms]
167.99.183.13:443#CA [243.41ms]
172.98.207.58:443#CA [244.0ms]
139.84.236.69:443#ZA [368.09ms]
179.255.184.6:443#CA [244.32ms]
166.1.228.218:443#CA [244.48ms]
159.203.2.180:443#CA [244.87ms]
138.197.160.106:443#CA [246.82ms]
72.11.146.199:443#CA [247.37ms]
146.190.255.153:443#CA [248.98ms]
139.84.235.99:443#ZA [380.02ms]
139.84.244.9:443#ZA [384.85ms]
91.238.105.102:443#UA [311.1ms]
84.235.245.65:2096#AE [184.5ms]
141.105.130.102:443#UA [1341.39ms]
38.54.64.204:443#ZA [419.84ms]
205.186.67.52:2053#MY [优选高速 102.23ms]
176.97.78.80:8443#AE [256.42ms]
205.186.67.191:8443#MY [104.8ms]
23.27.28.98:443#MY [优选高速 107.51ms]
205.186.67.52:2087#MY [106.59ms]
